patch_id,patch_path,patch_mask_path,stone_id,source_image,source_mask,label,folder,view
6_2662SE_surface_p00,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p00.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p00_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p01,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p01.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p01_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p02,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p02.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p02_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p03,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p03.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p03_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p04,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p04.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p04_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p05,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p05.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p05_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p06,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p06.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p06_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p07,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p07.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p07_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_2662SE_surface_p08,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_2662SE_surface_p08.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_2662SE_surface_p08_mask.png,6_2662SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_2662SE_surface.png,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_2662SE_surface_mask.png,5,6,surface
6_3002SE_p00,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/patches/6_3002SE_p00.png,/home/ikk/renal-calculi-classificaction/experiments/patches/256/6/masks/6_3002SE_p00_mask.png,6_3002SE,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/6_3002SE.jpg,/home/ikk/renal-calculi-classificaction/DATASET/RESIZED/6/surface/MASKS/6_3002SE_mask.png,5,6,surface
